Store,Sum_Dry_Grocery,Sum_Dairy,Sum_Frozen_Food,Sum_Meat,Sum_Produce,Sum_Floral,Sum_Deli,Sum_Bakery,Sum_General_Merchandise,Total_Sales,Pct_Sum_Dry_Grocery,Pct_Sum_Dairy,Pct_Sum_Frozen_food,Pct_Meat,Pct_Produce,Pct_Floral,Pct_Deli,Pct_Bakery,Pct_General_Merchandise,Cluster
S0001,10845787.65,2423389.38,1814872.88,2531382.34,2284388.7,159142.23,1023812.9,835599.06,1590570.68,23508945.82,46.13472562,10.30837111,7.719924551,10.76774075,9.717103938,0.676943285,4.354992809,3.554387621,6.76581031,3
S0002,7931072.94,1844188.83,1366677.52,1991807.66,1755293.15,128935.92,689786.42,514864.68,1111992.45,17334619.57,45.75279491,10.63876148,7.884092953,11.49034539,10.12593984,0.743805882,3.979241755,2.970152751,6.414865036,3
S0003,12741875.44,3095321.58,2087437.15,3468989.12,3792143.03,291259.69,1262874.27,1091930.44,2408831.27,30240661.99,42.1349091,10.23562772,6.902749519,11.47127375,12.53988101,0.963139266,4.176080108,3.61080204,7.965537496,2
S0004,12688533.89,2710746.38,2240847.44,3565375.84,2802811.88,170822.64,1166388.77,962155.82,1606208.31,27913890.97,45.45598428,9.711101841,8.027714382,12.77276552,10.0409215,0.61196284,4.178524489,3.446871026,5.75415413,3
S0005,12248085.57,2957003.74,2402445.89,2834435.52,3648309.02,247017.36,984736.25,629055.94,1874796.88,27825886.17,44.01687513,10.62680887,8.633852217,10.18632615,13.11120515,0.887725043,3.538921434,2.260686097,6.737599904,2
S0006,15921985.74,3414385.76,2577624.88,3702008.49,3524245.59,286180.46,1603464.11,1226324.72,2369201.12,34625420.87,45.98351541,9.860922046,7.444313499,10.69159131,10.1782029,0.826503918,4.630886989,3.541688994,6.842374939,3
S0007,13644163.44,3152200.12,2752056.93,3553409,3192688.95,241915.18,1428888.69,931336.01,1966428.99,30863087.31,44.20867978,10.21349578,8.916985207,11.51345931,10.34468431,0.783833379,4.629765894,3.01763722,6.371459116,3
S0008,12503176.41,3173008.04,2343931.3,3118893.04,3609692.16,229334.44,951990.47,653608.2,2598245.71,29181879.77,42.84568543,10.87321333,8.032146382,10.68777291,12.3696355,0.7858796,3.262265754,2.239774151,8.903626944,2
S0009,17990212.13,4083162.02,3134343.14,4837013.88,4210541.86,296476.2,1798155.15,1047732.42,3280983.51,40678620.31,44.2252269,10.03761187,7.7051363,11.89080122,10.35074894,0.728825604,4.420393652,2.57563411,8.065621412,3
S0010,9364058.9,2495117.23,1743731.4,2325539.02,2639823.51,225352.37,805192.95,825864.13,1279248.61,21703928.12,43.14453517,11.49615506,8.03417423,10.71483009,12.16288358,1.038302232,3.709895027,3.80513668,5.894087941,2
